campaign	category	step	mean_loss	mean_auc	mean_anlp	x	embedding_dim	batch_size	state_size	lr	anlp_lr	l2_norm	alpha	beta
2997	TRAIN	16400	0.174727	0.9732	0.8564	0.3810	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	16500	0.187618	0.9697	0.8802	0.4012	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	16600	0.186748	0.9675	0.8978	0.4037	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	16700	0.227012	0.9611	0.9736	0.4671	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	16800	0.212559	0.9655	0.9553	0.4461	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	16900	0.178014	0.9754	0.8261	0.3788	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	17000	0.159049	0.9763	0.8522	0.3613	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	17100	0.167503	0.9741	0.8387	0.3687	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	17200	0.190648	0.9706	0.8875	0.4063	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	17300	0.194966	0.9716	0.9162	0.4172	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	17400	0.202510	0.9682	0.9184	0.4267	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	17500	0.176646	0.9747	0.8300	0.3780	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	17600	0.171926	0.9742	0.8226	0.3708	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	17700	0.158308	0.9737	0.8291	0.3558	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	17800	0.167619	0.9729	0.8566	0.3725	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	17900	0.194337	0.9684	0.8786	0.4089	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	18000	0.205191	0.9650	0.9009	0.4264	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	18000	0.357467	0.9043	8.0873	2.0464	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	18100	0.164198	0.9731	0.8378	0.3646	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	18200	0.156417	0.9771	0.7702	0.3417	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	18300	0.163070	0.9738	0.8035	0.3564	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	18400	0.167083	0.9752	0.8435	0.3692	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	18500	0.203805	0.9667	0.8911	0.4228	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	18600	0.194121	0.9670	0.8921	0.4114	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	18700	0.159615	0.9766	0.7798	0.3475	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	18800	0.158440	0.9760	0.7508	0.3403	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	18900	0.157524	0.9751	0.7732	0.3437	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	19000	0.177089	0.9722	0.8271	0.3779	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	19100	0.197535	0.9692	0.8450	0.4060	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	19200	0.214814	0.9625	0.8830	0.4344	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	19300	0.184520	0.9734	0.7985	0.3811	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	19400	0.161776	0.9762	0.7594	0.3460	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	19500	0.171055	0.9751	0.7758	0.3604	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	19600	0.174798	0.9735	0.7928	0.3683	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	19700	0.186113	0.9737	0.8529	0.3939	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	19800	0.208266	0.9667	0.8445	0.4188	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	19900	0.207342	0.9648	0.8440	0.4176	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	20000	0.153417	0.9780	0.7333	0.3308	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	20100	0.160479	0.9751	0.7714	0.3468	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	20200	0.175886	0.9743	0.7833	0.3677	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	20300	0.192491	0.9748	0.8253	0.3961	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	20400	0.187798	0.9631	0.8332	0.3920	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	20500	0.199100	0.9622	0.8185	0.4026	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	20600	0.159243	0.9770	0.7149	0.3341	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	20700	0.158601	0.9778	0.7435	0.3390	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	20800	0.180783	0.9729	0.7599	0.3689	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	20900	0.189339	0.9735	0.7949	0.3862	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	21000	0.191647	0.9738	0.8514	0.4003	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	21000	0.424566	0.8992	8.5388	2.2172	32	128	128	0.001000	0.001000	0.001	1.2	0.2
